Country,Pollution,Population Density,GDP per Capita,Food Insecurity,"Travel (Arrival, Tourism)",Health Access,Cases,Recovered,Deaths,Literacy Rate
Nauru,6.06435493209495,590.05,12982.7612060515,32.90984848484849,10000.0,60.0,5393.0,5392.0,1.0,0.85
Nepal,45.7207706412594,207.292891524241,1377.62603571292,37.0,230000.0,54.0,1003450.0,991419.0,12031.0,0.71
Netherlands,10.8892498470498,525.719691119691,64572.0059558854,5.5,7265000.0,85.0,8636201.0,8613215.0,22986.0,0.85
New Caledonia,23.410356664507074,15.7069474835886,20473.30811712618,32.90984848484849,31000.0,35.0,80064.0,79750.0,314.0,0.97
New Zealand,6.48591499675774,19.4341270745509,48280.8114166238,16.4,996000.0,85.0,2587178.0,2583202.0,3976.0,0.85
Nicaragua,16.809772538789,55.9303141100216,2612.87066241288,32.90984848484849,474000.0,70.0,16143.0,15898.0,245.0,0.83
Niger,85.1223455605238,19.9826107207705,642.937917863471,50.3,85000.0,35.0,9515.0,9200.0,315.0,0.38
Nigeria,56.5313287289257,245.013445765671,1596.63696129001,73.9,10000.0,38.0,267188.0,264033.0,3155.0,0.62
North Macedonia,26.118651401474,72.6293417922284,8624.29360948531,20.2,118000.0,74.0,350589.0,340612.0,9977.0,0.98
Northern Mariana Islands,9.71463085081006,100.169565217391,20473.30811712618,32.90984848484849,10000.0,35.0,14656.0,14615.0,41.0,0.85
Norway,6.05589724673443,14.9809948664452,87925.0944188399,6.8,1397000.0,87.0,1507568.0,1501836.0,5732.0,0.85
Oman,39.5835768902765,15.2834442649435,21549.8368728192,32.90984848484849,869000.0,70.0,399449.0,394821.0,4628.0,0.97
Pakistan,42.9981734249878,316.133077781237,1365.27743222493,44.9,10000.0,45.0,1580631.0,1549975.0,30656.0,0.58
Palau,7.32770979431049,38.6065217391304,15899.4224911152,32.90984848484849,18399.9996185303,65.0,6332.0,6322.0,10.0,0.97
Panama,11.4700607490209,59.3255998921542,18686.4050961265,32.90984848484849,647000.0,78.0,1044336.0,1035632.0,8704.0,0.96
Papua New Guinea,17.3105425567239,22.5305149494325,2957.68262498549,57.3,39000.0,30.0,46864.0,46194.0,670.0,0.64
Paraguay,10.0891599097852,17.0713596633508,6276.35113919957,26.2,1077000.0,72.0,735759.0,715879.0,19880.0,0.95
Peru,27.0356284968814,26.1526859375,7906.58502858,51.7,1119000.0,71.0,4524748.0,4303917.0,220831.0,0.94
Philippines,20.2887417122616,382.21262367106,3804.8725797521,44.1,1483000.0,58.0,4140383.0,4073519.0,66864.0,0.96
Poland,17.9583314936851,120.297131562612,22056.6661704127,5.4,10000.0,82.0,6662631.0,6541920.0,120711.0,1.0
Portugal,8.45242266236737,113.904957775507,27331.2094945255,12.3,4208000.0,88.0,5643528.0,5615377.0,28151.0,0.97
Puerto Rico,7.18841521712249,363.034160090192,36779.0594913858,32.90984848484849,3882000.0,35.0,1252713.0,1246775.0,5938.0,0.92
Qatar,75.6630329481338,231.273542210618,80195.874646942,32.90984848484849,582000.0,76.0,514524.0,513834.0,690.0,0.94
Romania,14.8501731264834,82.7907771210014,18404.2730871704,19.1,5023000.0,78.0,3528662.0,3459862.0,68800.0,0.99
Rwanda,31.2882654917538,553.345358735306,1010.2689290184,32.90984848484849,10000.0,49.0,133235.0,131767.0,1468.0,0.76
Samoa,12.5518952802963,77.4320143884892,4330.17840531329,23.6,23899.9996185303,55.0,17057.0,17026.0,31.0,0.99
